HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,452.1730192337811,452.98051570012075,0.0,0.0,484.757667239495
1,452.1730192337865,452.98051570012086,0.0,0.0,484.757667239495
2,456.5583510124706,452.98051570011654,0.0,0.0,484.757667239495
3,499.9548033498985,452.9805157001248,0.0,0.0,484.757667239495
4,675.288427944838,452.98051570012126,0.0,0.0,484.757667239495
5,1112.0480407480907,452.99048643845845,0.0,0.0,484.757667239495
6,1874.8622394430522,453.33156673724903,0.0,0.0,484.757667239495
7,2813.0449721530003,456.0776572594313,0.0,0.0,484.757667239495
8,3576.435023048369,465.5704832810621,0.0,0.0,484.757667239495
9,3784.2112641900794,485.66605201134445,0.0,0.0,484.757667239495
10,3815.7577430461984,512.2183691171513,0.0,0.0,484.757667239495
11,3902.0770602756043,526.0920122586774,0.0,0.0,484.757667239495
12,3747.124423323006,516.4681672316383,0.0,0.0,484.757667239495
13,3297.7019295528003,496.28643534733914,0.0,0.0,484.757667239495
14,2656.0641409336763,475.00747357882113,0.0,0.0,484.757667239495
15,1971.7336079681488,459.8654386080238,0.0,0.0,484.757667239495
16,1454.181494234169,453.762523944563,0.0,0.0,484.757667239495
17,1081.5711523764894,452.980515700122,0.0,0.0,484.757667239495
18,800.4001239177303,452.98051570012126,0.0,0.0,484.757667239495
19,611.5541442637154,452.98051570012115,0.0,0.0,484.757667239495
20,508.8197248320058,452.98051570012063,0.0,0.0,484.757667239495
21,463.43078905595877,452.9805157001219,0.0,0.0,484.757667239495
22,453.0302934317788,452.980515700121,0.0,0.0,484.757667239495
23,451.96271745821565,452.6981761638932,0.0,0.0,484.757667239495
