HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,16434.966796874916,16434.966796875036,0.0,0.0,2211.0727636166075
1,16434.96679687497,16434.966796874996,0.0,0.0,2211.0727636166075
2,16434.966796874938,16434.96679687496,0.0,0.0,2211.0727636166075
3,16434.966796875244,16434.966796875022,0.0,0.0,2211.0727636166075
4,16267.995225694449,16267.353027343785,0.0,0.0,2211.0727636166075
5,10988.69887452103,10991.380758432244,0.0,0.0,2211.0727636166075
6,6336.210215367895,6086.666584895214,0.0,0.0,2211.0727636166075
7,1737.4369455388478,1681.5907768836805,0.0,0.0,2211.0727636166075
8,411.62030029293237,411.62030029297057,0.0,0.0,2211.0727636166075
9,411.6203002929469,411.62030029298876,0.0,0.0,2211.0727636166075
10,411.6203002929615,411.6203002929851,0.0,0.0,2211.0727636166075
11,411.62030029294874,411.6203002929815,0.0,0.0,2211.0727636166075
12,411.6203002929233,411.6203002930106,0.0,0.0,2211.0727636166075
13,411.6203002929651,411.62030029300513,0.0,0.0,2211.0727636166075
14,411.62030029291964,411.6203002929833,0.0,0.0,2211.0727636166075
15,555.7882215711725,556.3427135761103,0.0,0.0,2211.0727636166075
16,699.3156127930288,699.4240476168197,0.0,0.0,2211.0727636166075
17,4819.497205478507,4794.532031719527,0.0,0.0,2211.0727636166075
18,10241.152361522654,10390.109652005714,0.0,0.0,2211.0727636166075
19,15952.220854660483,16055.136253943818,0.0,0.0,2211.0727636166075
20,16518.410156250073,16518.30172025243,0.0,0.0,2211.0727636166075
21,16483.656032986153,16483.609112079343,0.0,0.0,2211.0727636166075
22,16473.89648437502,16473.896484374985,0.0,0.0,2211.0727636166075
23,16452.26888020841,16452.18569711537,0.0,0.0,2211.0727636166075
