HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,-88.76531112394807,-90.36061371089858,-97.82120323053907,0.0,751.0118406982386
1,-60.541669132441854,-87.87754598621403,-97.82120323053907,0.0,751.0118406982386
2,-5.800284826375886,-9.057698939525608,-97.82120323053907,0.0,751.0118406982386
3,43.22042299400394,60.79098892602809,-97.82120323053907,0.0,751.0118406982386
4,63.50329994334024,111.2956595329818,-97.82120323053907,0.0,751.0118406982386
5,-3.5207854481423624,106.31591572998249,-97.82120323053907,0.0,751.0118406982386
6,97.19557744268997,186.11863286966584,-97.82120323053907,0.0,751.0118406982386
7,1017.7307229286823,337.8994118130104,-97.82120323053907,0.0,751.0118406982386
8,1013.3003381473286,560.2573232965028,-97.82120323053907,0.0,751.0118406982386
9,1348.876442854074,686.6749204456767,-97.82120323053907,0.0,751.0118406982386
10,1107.989278964571,608.40172987976,-97.82120323053907,0.0,751.0118406982386
11,726.9510484445991,415.47399322675835,-97.82120323053907,0.0,751.0118406982386
12,406.38668052834055,232.82057243024266,-97.82120323053907,0.0,751.0118406982386
13,309.76565871180844,174.76028208639573,-97.82120323053907,0.0,751.0118406982386
14,224.55170350026825,152.37026036384452,-97.82120323053907,0.0,751.0118406982386
15,221.0767006874361,150.29487969370402,-97.82120323053907,0.0,751.0118406982386
16,236.88166477915323,164.45776945867314,-97.82120323053907,0.0,751.0118406982386
17,369.76532259527073,220.75226411115048,-97.82120323053907,0.0,751.0118406982386
18,347.2786431750368,307.3340784291016,-97.82120323053907,0.0,751.0118406982386
19,104.68941704723304,46.234884098447196,-97.82120323053907,0.0,751.0118406982386
20,228.5092173218367,-160.6868357038921,-97.82120323053907,0.0,751.0118406982386
21,63.57925447826193,-177.4520155672497,-97.82120323053907,0.0,751.0118406982386
22,-173.45148090131477,-186.7178187160459,-97.82120323053907,0.0,751.0118406982386
23,-161.55226171837705,-127.18104745735926,-97.82120323053907,0.0,751.0118406982386
