HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,3001.494039967443,2959.5543173885762,-27.018354505301645,0.0,497.3184728568206
1,2990.6999041354197,2943.10820619568,-27.018354505301645,0.0,497.3184728568206
2,2966.3464013108673,2935.3051713791924,-27.018354505301645,0.0,497.3184728568206
3,2948.910362628826,2901.2603629831433,-27.018354505301645,0.0,497.3184728568206
4,3062.230624114752,2880.642122847281,-27.018354505301645,0.0,497.3184728568206
5,2975.359659300243,2991.1586219741293,-27.018354505301645,0.0,497.3184728568206
6,2863.992304740325,2891.730967649578,-27.018354505301645,0.0,497.3184728568206
7,2727.3707064739283,2703.605322057683,-27.018354505301645,0.0,497.3184728568206
8,2671.4282449292105,2701.0643999986232,-27.018354505301645,0.0,497.3184728568206
9,2575.83722862707,2643.0967956730833,-27.018354505301645,0.0,497.3184728568206
10,2395.5393707002795,2497.7803881220825,-27.018354505301645,0.0,497.3184728568206
11,2243.441099733879,2330.3043807555605,-27.018354505301645,0.0,497.3184728568206
12,2117.4750914575247,2175.4141698138533,-27.018354505301645,0.0,497.3184728568206
13,2022.8408030619382,2095.1625294728256,-27.018354505301645,0.0,497.3184728568206
14,1982.4174386893887,2061.455884567329,-27.018354505301645,0.0,497.3184728568206
15,2024.8248108423052,2099.392548579116,-27.018354505301645,0.0,497.3184728568206
16,2172.9406169272884,2254.837912107826,-27.018354505301645,0.0,497.3184728568206
17,2414.247634131855,2488.1017225912346,-27.018354505301645,0.0,497.3184728568206
18,2648.8891215628696,2705.5632666851775,-27.018354505301645,0.0,497.3184728568206
19,2831.6217236653247,2850.544711295121,-27.018354505301645,0.0,497.3184728568206
20,2930.7504504053745,2928.8486653195105,-27.018354505301645,0.0,497.3184728568206
21,2949.779191295239,2935.6372124837694,-27.018354505301645,0.0,497.3184728568206
22,2974.755996588788,2923.717566024164,-27.018354505301645,0.0,497.3184728568206
23,2990.9202323850072,2950.155021944597,-27.018354505301645,0.0,497.3184728568206
