HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,625.1410066450904,815.1445330106303,0.0,0.0,685.136447525812
1,639.9120022711522,829.9767461923493,0.0,0.0,685.136447525812
2,743.7111018973472,868.7105337289569,0.0,0.0,685.136447525812
3,1020.404972237253,922.9755906325256,0.0,0.0,685.136447525812
4,1777.6772463275947,1030.7699831449086,0.0,0.0,685.136447525812
5,2985.4502034972697,1230.5519949106076,0.0,0.0,685.136447525812
6,4679.361860604197,1551.6354822012097,0.0,0.0,685.136447525812
7,6180.644341362836,1926.5130626972004,0.0,0.0,685.136447525812
8,6922.55859842702,2181.3550426776565,0.0,0.0,685.136447525812
9,7200.311769448921,2264.3282130314788,0.0,0.0,685.136447525812
10,7277.863425302315,2244.962274404673,0.0,0.0,685.136447525812
11,7287.206571498579,2146.0549915020306,0.0,0.0,685.136447525812
12,7279.161138424925,1976.6136509822063,0.0,0.0,685.136447525812
13,7161.240790940787,1781.002608079185,0.0,0.0,685.136447525812
14,6654.04300335996,1582.5870290902963,0.0,0.0,685.136447525812
15,5497.701314056507,1411.0349743182865,0.0,0.0,685.136447525812
16,3914.4834309428234,1273.6288475623533,0.0,0.0,685.136447525812
17,2367.6888535305943,1120.6267946683492,0.0,0.0,685.136447525812
18,1371.8016878909852,936.1912765502962,0.0,0.0,685.136447525812
19,955.983258828328,795.1587319007313,0.0,0.0,685.136447525812
20,773.2853994552316,788.8501903827387,0.0,0.0,685.136447525812
21,682.8967009212055,821.4394683837942,0.0,0.0,685.136447525812
22,643.7804256746231,818.4897689819363,0.0,0.0,685.136447525812
23,627.9745415581878,813.483794579139,0.0,0.0,685.136447525812
