HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,16340.39538433889,16338.279137244614,0.0,0.0,982.8260247635004
1,16358.8353388409,16351.90566781849,0.0,0.0,982.8260247635004
2,16372.52959246272,16359.351909930798,0.0,0.0,982.8260247635004
3,16398.38793851812,16379.14013671882,0.0,0.0,982.8260247635004
4,16996.391927083307,16974.82272573619,0.0,0.0,982.8260247635004
5,17427.361305675167,17401.647855318482,0.0,0.0,982.8260247635004
6,17318.563925557348,17291.711031400217,0.0,0.0,982.8260247635004
7,17124.110299179767,17094.68819486184,0.0,0.0,982.8260247635004
8,17572.19109195398,17546.815852238604,0.0,0.0,982.8260247635004
9,18034.294113685228,18008.21517240081,0.0,0.0,982.8260247635004
10,18168.387639188168,18142.682579627395,0.0,0.0,982.8260247635004
11,18931.638847731017,18907.493182842554,0.0,0.0,982.8260247635004
12,19544.15879430071,19518.056039663574,0.0,0.0,982.8260247635004
13,20256.692655950625,20236.463454026463,0.0,0.0,982.8260247635004
14,20766.9614014606,20750.634803185087,0.0,0.0,982.8260247635004
15,20216.152590696798,20202.22276893029,0.0,0.0,982.8260247635004
16,19761.295632782654,19752.629413311333,0.0,0.0,982.8260247635004
17,19043.102333273448,19032.873553936286,0.0,0.0,982.8260247635004
18,18443.50825401091,18436.009070763204,0.0,0.0,982.8260247635004
19,18307.000396611445,18300.271540715145,0.0,0.0,982.8260247635004
20,17703.838055256336,17696.775747445932,0.0,0.0,982.8260247635004
21,17290.22265999168,17287.27314640925,0.0,0.0,982.8260247635004
22,16769.091598569215,16766.985483022818,0.0,0.0,982.8260247635004
23,16321.080998563382,16321.847731370173,0.0,0.0,982.8260247635004
