HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,175.64500488631757,175.7963783557601,0.0,0.0,123.02586247372753
1,175.64500488631873,175.79637835576,0.0,0.0,123.02586247372753
2,175.68242104482547,175.79637835575863,0.0,0.0,123.02586247372753
3,176.88697499243003,175.79637835576102,0.0,0.0,123.02586247372753
4,188.98361206054628,175.79637835576017,0.0,0.0,123.02586247372753
5,246.1153302247474,175.79637835575957,0.0,0.0,123.02586247372753
6,398.00007340004515,175.79637835575977,0.0,0.0,123.02586247372753
7,635.0400033709635,175.79637835576068,0.0,0.0,123.02586247372753
8,815.1133023258365,175.79637835575994,0.0,0.0,123.02586247372753
9,872.5208011495635,175.79637835575994,0.0,0.0,123.02586247372753
10,863.7827947916182,175.79637835576003,0.0,0.0,123.02586247372753
11,844.2925367391877,175.79637835575997,0.0,0.0,123.02586247372753
12,822.8681090782427,175.79637835576136,0.0,0.0,123.02586247372753
13,741.3342067966969,175.79637835576023,0.0,0.0,123.02586247372753
14,593.4237665929084,175.79637835575997,0.0,0.0,123.02586247372753
15,421.5895496529174,175.79637835575997,0.0,0.0,123.02586247372753
16,274.4706253402545,175.79637835576037,0.0,0.0,123.02586247372753
17,199.60504036388184,175.7963783557601,0.0,0.0,123.02586247372753
18,179.0056234191644,175.79637835575988,0.0,0.0,123.02586247372753
19,175.86722205150858,175.79637835575997,0.0,0.0,123.02586247372753
20,175.64500488632166,175.79637835576006,0.0,0.0,123.02586247372753
21,175.64500488632163,175.79637835576006,0.0,0.0,123.02586247372753
22,175.64500488632078,175.79637835575983,0.0,0.0,123.02586247372753
23,175.64500488632257,175.7963783557597,0.0,0.0,123.02586247372753
