HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,97.53565216064258,147.07033105996948,0.0,0.0
1,97.53565216064355,147.0703310599693,0.0,0.0
2,99.10847362065046,147.87080962841225,0.0,0.0
3,117.02957422249611,154.0503504092885,0.0,0.0
4,178.44525245871085,171.15017744211042,0.0,0.0
5,238.3108042282151,206.5902748841501,0.0,0.0
6,265.3587809011005,249.91607893430245,0.0,0.0
7,277.26840315193914,277.78094607133187,0.0,0.0
8,282.73548462381683,287.4039207605213,0.0,0.0
9,284.8149159164706,289.2860551247226,0.0,0.0
10,285.2912840861465,289.29294916299676,0.0,0.0
11,285.3668858319856,288.32517161736115,0.0,0.0
12,285.0719888621357,283.7586811505839,0.0,0.0
13,281.89609173887965,272.35184662158673,0.0,0.0
14,270.5838480397646,249.0086063238291,0.0,0.0
15,245.93292131095018,195.65442767510052,0.0,0.0
16,204.8959007409348,128.01069985903263,0.0,0.0
17,150.76963692149886,106.70145592322731,0.0,0.0
18,111.30540983704206,128.76114617861228,0.0,0.0
19,98.82113264529477,144.75515725062442,0.0,0.0
20,97.53565216064568,147.07033105996953,0.0,0.0
21,97.53565216064575,147.0703310599693,0.0,0.0
22,97.53565216064504,147.07033105996925,0.0,0.0
23,97.53565216064649,49.534678899326636,0.0,0.0
