HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,79.87740437006946,79.89057944371154,0.0,0.0
1,79.66198850317431,79.67369886545018,0.0,0.0
2,79.52210381752612,79.53289963648822,0.0,0.0
3,79.49288247645788,79.43306372715898,0.0,0.0
4,80.94646638015203,80.29104885688196,0.0,0.0
5,83.80908214817501,81.11250591278055,0.0,0.0
6,86.87609670354313,81.71078183100758,0.0,0.0
7,89.18490729204046,82.52426250164345,0.0,0.0
8,91.49124008120215,84.2481991694524,0.0,0.0
9,92.78534262938462,85.35539539043701,0.0,0.0
10,93.30782741970452,85.86978868337776,0.0,0.0
11,94.75296555442331,87.28596364534818,0.0,0.0
12,95.63710185668445,88.233766995944,0.0,0.0
13,96.44265410909225,89.21762400407056,0.0,0.0
14,96.4260843503515,89.48636025648844,0.0,0.0
15,93.78268587543562,88.14566979041464,0.0,0.0
16,90.49580628844548,87.32960737668562,0.0,0.0
17,86.951042262987,85.96941412412191,0.0,0.0
18,85.37538129433767,85.28880764887873,0.0,0.0
19,84.68079241756207,84.70192542442905,0.0,0.0
20,83.40097840992472,83.41675200829141,0.0,0.0
21,82.1897764534788,82.2049953020535,0.0,0.0
22,81.06865578136224,81.0815190535324,0.0,0.0
23,80.07007113635842,0.20298523963410808,0.0,0.0
