HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1174.343383789062,1174.3433837890632,0.0,0.0
1,1174.3433837890614,1174.3433837890616,0.0,0.0
2,1174.3433837890607,1174.3433837890625,0.0,0.0
3,1174.3433837890625,1174.3433837890623,0.0,0.0
4,1174.3433837890639,1174.343383789058,0.0,0.0
5,1125.282028286444,1124.7082112630196,0.0,0.0
6,1025.437866210939,1025.4378662109373,0.0,0.0
7,1025.4378662109398,1025.437866210936,0.0,0.0
8,1174.343383789062,1174.343383789062,0.0,0.0
9,1174.343383789062,1174.343383789062,0.0,0.0
10,1174.343383789062,1174.343383789062,0.0,0.0
11,1174.343383789062,1174.343383789062,0.0,0.0
12,1174.343383789062,1174.343383789062,0.0,0.0
13,1174.343383789062,1174.343383789062,0.0,0.0
14,1174.343383789062,1174.343383789062,0.0,0.0
15,1174.343383789062,1174.343383789062,0.0,0.0
16,1174.343383789062,1174.343383789062,0.0,0.0
17,418.5918918989281,415.70214916410805,0.0,0.0
18,723.5473560903272,737.6146196218639,0.0,0.0
19,1154.698981098745,1164.483404746421,0.0,0.0
20,1174.3433837890623,1174.3433837890595,0.0,0.0
21,1174.343383789062,1174.3433837890625,0.0,0.0
22,1174.3433837890616,1174.3433837890593,0.0,0.0
23,1174.3433837890616,-2.4868995751603507e-13,0.0,0.0
