HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,4504.7998046875055,4504.7998046874645,0.0,0.0
1,4467.695312499943,4467.552602914658,0.0,0.0
2,4438.011718749986,4438.01171874998,0.0,0.0
3,4438.011718749989,4438.011718749989,0.0,0.0
4,4337.9319661458185,4337.5470440204135,0.0,0.0
5,2490.825149009965,2484.028829721302,0.0,0.0
6,2092.239748198397,2061.803495987585,0.0,0.0
7,4504.7998046875055,4504.7998046875055,0.0,0.0
8,4504.7998046875055,4504.7998046875055,0.0,0.0
9,4504.7998046875055,4504.7998046875055,0.0,0.0
10,4504.7998046875055,4504.7998046875055,0.0,0.0
11,4504.7998046875055,4504.7998046875055,0.0,0.0
12,4504.7998046875055,4504.7998046875055,0.0,0.0
13,4504.7998046875055,4504.7998046875055,0.0,0.0
14,4504.7998046875055,4504.7998046875055,0.0,0.0
15,4504.7998046875055,4504.7998046875055,0.0,0.0
16,4504.7998046875055,4504.7998046875055,0.0,0.0
17,2274.485596760006,2262.308381453798,0.0,0.0
18,3809.759062200626,3835.6497708833813,0.0,0.0
19,4504.79980468748,4504.799804687485,0.0,0.0
20,4504.7998046874845,4504.799804687476,0.0,0.0
21,4504.799804687458,4504.799804687486,0.0,0.0
22,4504.799804687474,4504.799804687476,0.0,0.0
23,4504.799804687483,-2.125108873570882e-11,0.0,0.0
