HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,10659.691406249935,10659.691406250016,0.0,0.0
1,10659.691406249984,10659.691406249989,0.0,0.0
2,10659.691406249947,10659.691406249969,0.0,0.0
3,10659.691406250167,10659.691406250011,0.0,0.0
4,10659.691406249995,10659.691406250013,0.0,0.0
5,6125.992313311896,6108.631181276763,0.0,0.0
6,3010.6602430090206,2948.321690486031,0.0,0.0
7,432.3400573730323,432.34005737307416,0.0,0.0
8,432.3400573730287,432.3400573730505,0.0,0.0
9,432.3400573730323,432.3400573730578,0.0,0.0
10,432.3400573730614,432.3400573730596,0.0,0.0
11,432.34005737305233,432.3400573730578,0.0,0.0
12,432.3400573730214,432.34005737307416,0.0,0.0
13,432.3400573730414,432.3400573730669,0.0,0.0
14,432.34005737301413,432.3400573730578,0.0,0.0
15,432.3400573730414,432.3400573730578,0.0,0.0
16,908.5882432725921,910.4199670644921,0.0,0.0
17,5691.964057074655,5637.021970308744,0.0,0.0
18,9615.012627027925,9709.248570368838,0.0,0.0
19,11752.526909722166,11751.781137319711,0.0,0.0
20,11597.40625000004,11597.406250000011,0.0,0.0
21,11597.406250000002,11597.406249999996,0.0,0.0
22,11597.406249999996,11597.406249999995,0.0,0.0
23,11076.453559027821,414.7584885817911,0.0,0.0
