HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,6640.750488281245,6640.750488281235,0.0,0.0
1,5679.768771701383,5676.072688176078,0.0,0.0
2,4910.98339843749,4910.983398437494,0.0,0.0
3,4910.983398437487,4910.9833984374945,0.0,0.0
4,4910.983398437501,4910.983398437494,0.0,0.0
5,3410.4540865960125,3410.3210613544093,0.0,0.0
6,2165.2537972753353,2096.217265789315,0.0,0.0
7,1229.932908682984,1204.663085937479,0.0,0.0
8,6640.750488281245,6640.750488281245,0.0,0.0
9,6640.750488281245,6640.750488281245,0.0,0.0
10,6640.750488281245,6640.750488281245,0.0,0.0
11,6640.750488281245,6640.750488281245,0.0,0.0
12,6640.750488281245,6640.750488281245,0.0,0.0
13,6640.750488281245,6640.750488281245,0.0,0.0
14,6640.750488281245,6640.750488281245,0.0,0.0
15,746.3911743163944,746.3911743163962,0.0,0.0
16,1080.8399929470506,1082.1263345571524,0.0,0.0
17,2774.6324476921554,2768.8414776141717,0.0,0.0
18,4269.253186923786,4309.575509878294,0.0,0.0
19,6447.291126002746,6478.8206411508345,0.0,0.0
20,7242.758300781238,7242.758300781232,0.0,0.0
21,6946.739963107633,6945.6014310396495,0.0,0.0
22,6671.494845920126,6671.347036508406,0.0,0.0
23,6640.750488281235,2.0463630789890885e-12,0.0,0.0
