HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,6.845204512277168,6.304510116577164,0.0,0.0
1,10.482839580696224,6.386082328282987,0.0,0.0
2,17.070212185153046,7.09134399890867,0.0,0.0
3,38.582243499174425,9.132905198978122,0.0,0.0
4,100.6743635528386,12.124701912586652,0.0,0.0
5,194.03030253004653,15.058333561970844,0.0,0.0
6,307.0422082002169,16.89569778625793,0.0,0.0
7,403.34808196144525,17.47673472074413,0.0,0.0
8,447.12497258094896,17.48433664211852,0.0,0.0
9,456.541883570937,16.98356818235871,0.0,0.0
10,457.4334604109839,15.521337628364737,0.0,0.0
11,455.35664433446345,13.385074945596699,0.0,0.0
12,450.75681168274787,11.335173295094908,0.0,0.0
13,436.5075812358048,9.606835667903928,0.0,0.0
14,387.7015731563051,8.395936938432722,0.0,0.0
15,299.18690202793357,7.686262149077352,0.0,0.0
16,186.1082818553825,6.963716722451908,0.0,0.0
17,93.88109459274136,6.443654986528552,0.0,0.0
18,48.85710317604315,6.314324319362815,0.0,0.0
19,29.962936832529163,6.304510116577322,0.0,0.0
20,19.441186252682105,6.304510116577164,0.0,0.0
21,13.439465774887694,6.304510116577424,0.0,0.0
22,9.205741495008663,6.304510116577298,0.0,0.0
23,6.778175025151788,-0.540694395699985,0.0,0.0
