HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1323.586960365003,1037.6314873328588,0.0,0.0
1,1098.0847558500072,1332.8195378230198,0.0,0.0
2,1168.4319095538212,1800.6881150465608,0.0,0.0
3,1768.3270633157435,2111.42598783054,0.0,0.0
4,2592.3936678714617,2240.642322246846,0.0,0.0
5,3314.9512719632785,2280.6318335899896,0.0,0.0
6,4156.26207233306,2363.6762601412233,0.0,0.0
7,4930.242275895733,2407.089165320771,0.0,0.0
8,5335.147607328323,2412.7330557016217,0.0,0.0
9,5439.77954335412,2412.6787578876174,0.0,0.0
10,5449.619240245587,2411.65825007512,0.0,0.0
11,5449.619240245585,2405.0163151667684,0.0,0.0
12,5449.619240245591,2393.2341308593873,0.0,0.0
13,5449.619240245589,2376.2447251539975,0.0,0.0
14,5449.61924024558,2335.827764657827,0.0,0.0
15,5434.920705276418,2205.6893216646645,0.0,0.0
16,5298.361018973754,1801.8476902888415,0.0,0.0
17,4871.50439499895,1668.724954458385,0.0,0.0
18,4174.87284903689,1549.9366572453425,0.0,0.0
19,3196.624537910058,1314.8961293147167,0.0,0.0
20,2410.087591295509,1240.8531188964853,0.0,0.0
21,2284.7351322101163,1208.4108904325094,0.0,0.0
22,2102.2997770930647,1170.5830841064462,0.0,0.0
23,1677.5033253637118,-253.49566585629023,0.0,0.0
