HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1705.509295116399,1688.4966313288792,0.0,0.0
1,1722.219166722773,1725.7739821214043,0.0,0.0
2,1912.972591707037,1867.7493708683724,0.0,0.0
3,2634.2359563017435,2061.471868661754,0.0,0.0
4,3918.584265464103,2241.0282733623844,0.0,0.0
5,5587.495209324833,2389.0148726243265,0.0,0.0
6,7361.9141073995415,2486.627613947945,0.0,0.0
7,8700.913215491035,2547.16014685999,0.0,0.0
8,9233.011436725468,2566.997924804689,0.0,0.0
9,9300.781635386707,2544.9406902606715,0.0,0.0
10,9305.07796457808,2480.8431490384683,0.0,0.0
11,9303.869359509676,2367.312281681945,0.0,0.0
12,9288.115470564666,2256.6252230130917,0.0,0.0
13,9203.835215367568,2201.8699563833497,0.0,0.0
14,8933.623871434213,2175.610647348264,0.0,0.0
15,8301.865270388074,2124.341462355397,0.0,0.0
16,7250.442647532044,1999.1759338378984,0.0,0.0
17,5978.403020047588,1908.5512836162943,0.0,0.0
18,4762.099619196721,1846.2741957444468,0.0,0.0
19,3735.6768256293085,1790.8774073674165,0.0,0.0
20,2924.651532754148,1769.396769596983,0.0,0.0
21,2362.3052674509386,1755.503538865316,0.0,0.0
22,1997.2668840547315,1733.0645787165756,0.0,0.0
23,1782.2964461169886,0.09905402347335723,0.0,0.0
