HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,59.91826939491354,60.036525029402576,0.0,0.0
1,59.96505025520126,60.03652502940253,0.0,0.0
2,60.51783802134647,60.03652502940206,0.0,0.0
3,63.62801725015183,60.03652502940302,0.0,0.0
4,75.66584524980416,60.036525029402625,0.0,0.0
5,107.73520240929747,60.036525029402526,0.0,0.0
6,173.06925470345217,60.07030424704924,0.0,0.0
7,278.701195888592,60.50901060838009,0.0,0.0
8,403.67995053872227,61.800508829263535,0.0,0.0
9,475.8967860868597,63.661041113046615,0.0,0.0
10,485.9495370652933,65.35590105790372,0.0,0.0
11,500.27139289534335,66.01566985937275,0.0,0.0
12,485.254780663384,65.70897439810008,0.0,0.0
13,420.02045789989006,65.55122027030382,0.0,0.0
14,316.8530913166609,65.20836254266605,0.0,0.0
15,202.70967758295598,64.24441631023709,0.0,0.0
16,125.95586747502036,62.56330046286969,0.0,0.0
17,87.14817814443309,61.05721007860641,0.0,0.0
18,68.60372381100639,60.27875251036433,0.0,0.0
19,61.60924774111353,60.059414203350435,0.0,0.0
20,60.054991360368945,60.03652502940256,0.0,0.0
21,59.91826939491544,60.036525029402696,0.0,0.0
22,59.9182693949151,60.036525029402576,0.0,0.0
23,59.909528228059315,0.06948487666702707,0.0,0.0
