HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,180.51712036132153,180.51712036132864,0.0,0.0
1,180.51712036132523,180.51712036132903,0.0,0.0
2,180.51712036132014,180.51712036132585,0.0,0.0
3,200.09124580472877,180.79627286471205,0.0,0.0
4,409.8894988896726,183.02184662452214,0.0,0.0
5,1096.306328199826,189.17445109440823,0.0,0.0
6,1787.235533440268,201.0287141066336,0.0,0.0
7,2113.6585741883473,217.97413077721527,0.0,0.0
8,2250.308885713189,235.58868320171646,0.0,0.0
9,2307.9192530606388,252.67257396991562,0.0,0.0
10,2325.673664195323,263.5855976985061,0.0,0.0
11,2327.8547888277108,266.61259489793133,0.0,0.0
12,2324.2091636219247,266.94258704552635,0.0,0.0
13,2289.991025376594,266.45957594651634,0.0,0.0
14,2166.341086552057,260.72236457237926,0.0,0.0
15,1893.9304323159845,240.00169827387973,0.0,0.0
16,1437.9651178235792,214.79929351806777,0.0,0.0
17,835.6299102900128,196.66382877643474,0.0,0.0
18,375.21258983392363,185.3535533318161,0.0,0.0
19,208.43829515244562,181.04802967951946,0.0,0.0
20,182.7674115645049,180.5171203613286,0.0,0.0
21,180.6838236257082,180.51712036132992,0.0,0.0
22,180.5171203613305,180.51712036132875,0.0,0.0
23,180.51712036133475,6.519229600598919e-12,0.0,0.0
