HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,843.381720181148,843.7300274188702,0.0,0.0
1,842.9349505544968,843.4531784057649,0.0,0.0
2,845.7797058806826,845.1983325664721,0.0,0.0
3,870.3653870798602,859.7741540762204,0.0,0.0
4,958.4913416603018,906.395659226637,0.0,0.0
5,1190.3317927217888,1019.0702027540904,0.0,0.0
6,1645.0781633516608,1249.918905991772,0.0,0.0
7,2523.7640161039176,1664.825748150171,0.0,0.0
8,3204.6661334859846,2306.5495851956866,0.0,0.0
9,3409.6123701658144,2851.2627410888617,0.0,0.0
10,3581.5222294248306,3123.5588414118833,0.0,0.0
11,3663.701822916657,3227.462525587817,0.0,0.0
12,3575.5782540858413,3192.8118884746928,0.0,0.0
13,3544.325547024659,3160.3222339336694,0.0,0.0
14,3588.060139506242,3132.6137730525074,0.0,0.0
15,3507.4471374745503,2994.1534459040718,0.0,0.0
16,3283.3717153264256,2722.2875448373657,0.0,0.0
17,2971.7191866001367,2353.0494126539943,0.0,0.0
18,2628.803492052789,1976.2159693791295,0.0,0.0
19,2217.7523303269263,1628.261141850398,0.0,0.0
20,1567.8510938622576,1279.860285832331,0.0,0.0
21,1067.9824922642179,1020.5506098820633,0.0,0.0
22,908.7350148168172,896.116693349984,0.0,0.0
23,853.1001495712336,7.160242662526308,0.0,0.0
