HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,741.9984319109387,459.0056844858027,0.0,0.0
1,883.0875061736613,414.75833687415997,0.0,0.0
2,1159.7742552775371,487.5025256230201,0.0,0.0
3,1565.6993005979539,747.6007467416704,0.0,0.0
4,1990.3749193213396,1091.1840151273295,0.0,0.0
5,2341.6066085406037,1376.1588909442576,0.0,0.0
6,2578.3968381918794,1548.963667649488,0.0,0.0
7,2689.6347017836224,1622.663084763753,0.0,0.0
8,2718.8606583752326,1640.848861694336,0.0,0.0
9,2722.3568402871188,1642.9256580059318,0.0,0.0
10,2722.4333888963665,1642.998603233925,0.0,0.0
11,2722.225422943222,1642.9986032339255,0.0,0.0
12,2721.8930540121337,1642.9986032339327,0.0,0.0
13,2704.9216039664866,1642.9823667086098,0.0,0.0
14,2763.6754713971823,1838.238561776968,0.0,0.0
15,2715.0354560472006,2108.780222966121,0.0,0.0
16,2412.8976316488634,2075.186937772313,0.0,0.0
17,1978.8780587733436,1751.877163226787,0.0,0.0
18,1689.7733037371177,1513.6329733041612,0.0,0.0
19,1497.9112352392985,1361.2505364051235,0.0,0.0
20,1263.0429425586767,1165.2346250093901,0.0,0.0
21,1024.7446873690546,954.7647798978377,0.0,0.0
22,809.12567068517,719.8998407217177,0.0,0.0
23,704.7859817446626,-198.89662262936983,0.0,0.0
