HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,939.8798900618754,932.1821089524499,0.0,0.0
1,940.66376059813,932.5512190598694,0.0,0.0
2,949.2441539545081,932.9064243023159,0.0,0.0
3,971.0337935992363,933.7516015859783,0.0,0.0
4,1008.4191840745463,941.6568855872526,0.0,0.0
5,1048.693400766651,950.4987693199724,0.0,0.0
6,1085.2318622691741,955.3558302659242,0.0,0.0
7,1115.291415510502,957.4619322556744,0.0,0.0
8,1140.9861541397236,963.2923079270591,0.0,0.0
9,1156.4268548607304,967.8244564349823,0.0,0.0
10,1160.5219305630355,968.7061732365535,0.0,0.0
11,1166.7163394621007,973.904120225173,0.0,0.0
12,1170.8095817712042,976.0102486243675,0.0,0.0
13,1176.3651052891494,980.3471726637625,0.0,0.0
14,1177.7041679762265,983.4630502554083,0.0,0.0
15,1163.4687890531427,975.8545467670144,0.0,0.0
16,1128.9422006424404,968.0696945190447,0.0,0.0
17,1075.8939356310605,958.8359416081354,0.0,0.0
18,1028.5657509990067,952.5318374633779,0.0,0.0
19,998.788203330781,951.4904767549955,0.0,0.0
20,979.0859667314023,946.408493041993,0.0,0.0
21,967.9327829879842,942.0488815307617,0.0,0.0
22,956.0896293084746,935.9890148456266,0.0,0.0
23,944.4632692300586,-8.196797504409474,0.0,0.0
