HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,15125.303688487555,15125.211914062498,0.0,0.0
1,15153.899889247963,15134.475923978353,0.0,0.0
2,15377.334568067321,15190.257953350256,0.0,0.0
3,16093.440440912842,15260.633676382278,0.0,0.0
4,18214.80279798246,15393.156484750596,0.0,0.0
5,22706.701010985198,15787.823880709102,0.0,0.0
6,27805.261135058026,16632.57402155947,0.0,0.0
7,31382.150862068862,17935.08374023443,0.0,0.0
8,33361.596660979296,19221.46360426682,0.0,0.0
9,34246.808997844644,20023.805833082904,0.0,0.0
10,34489.82385207129,20253.797269381,0.0,0.0
11,34467.59695282557,19986.692739633414,0.0,0.0
12,34105.75442259332,19429.50176532461,0.0,0.0
13,33368.71797922648,18817.4751915565,0.0,0.0
14,31875.482885835598,18208.936429537247,0.0,0.0
15,29188.48963571593,17571.186654897836,0.0,0.0
16,25344.508957435406,16895.359337439917,0.0,0.0
17,20709.241948036375,16114.166917067298,0.0,0.0
18,17269.939404483834,15517.885235126183,0.0,0.0
19,15903.38881405631,15242.912231445305,0.0,0.0
20,15497.140149814508,15143.045560396631,0.0,0.0
21,15270.721990241947,15126.045128455522,0.0,0.0
22,15146.609322617363,15125.21191406248,0.0,0.0
23,15125.902744103401,-0.09177442507041178,0.0,0.0
