HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,50.38069152831343,50.38069152832024,0.0,0.0
1,52.50802961619591,51.387824131892835,0.0,0.0
2,65.3514307540858,59.419354438779365,0.0,0.0
3,82.96983208786115,80.51286800091455,0.0,0.0
4,135.51170743744726,121.82771022503226,0.0,0.0
5,449.97702260217727,228.13197194612937,0.0,0.0
6,1249.1321888774048,421.2424460191,0.0,0.0
7,2217.0294464812855,613.9740503751341,0.0,0.0
8,2848.8582453234408,718.3101673126216,0.0,0.0
9,3073.832043234867,738.0425511873688,0.0,0.0
10,3108.273990090319,681.0453282869788,0.0,0.0
11,3077.825026355024,539.0545893449057,0.0,0.0
12,3010.3500446012627,364.4032011765729,0.0,0.0
13,2873.8873055702866,214.10784273881396,0.0,0.0
14,2591.1762800837796,125.09773232386755,0.0,0.0
15,2111.373593414421,88.16020063253632,0.0,0.0
16,1436.3605394911517,71.34718865614755,0.0,0.0
17,758.8995914093831,62.4174710787278,0.0,0.0
18,324.8422243549404,55.85393810272313,0.0,0.0
19,140.78143319315558,51.79982324747018,0.0,0.0
20,74.70484475614724,50.534877557020934,0.0,0.0
21,53.60678055277769,50.38394458477494,0.0,0.0
22,50.48291965645669,50.380691528321115,0.0,0.0
23,50.38069152832737,7.028155835087091e-12,0.0,0.0
