HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,21534.894531250022,21534.8945312501,0.0,0.0
1,21187.099392361146,21185.76171875007,0.0,0.0
2,19863.289279513923,19859.26784104571,0.0,0.0
3,18213.460937500007,18210.3325946515,0.0,0.0
4,17487.76596922899,17483.975736177963,0.0,0.0
5,10466.687181962556,10437.078592153755,0.0,0.0
6,7833.360808273872,7737.234725288767,0.0,0.0
7,21534.894531250022,21534.894531250022,0.0,0.0
8,21534.894531250022,21534.894531250022,0.0,0.0
9,21534.894531250022,21534.894531250022,0.0,0.0
10,21534.894531250022,21534.894531250022,0.0,0.0
11,21534.894531250022,21534.894531250022,0.0,0.0
12,21534.894531250022,21534.894531250022,0.0,0.0
13,21534.894531250022,21534.894531250022,0.0,0.0
14,25.307298660358356,25.307298660336528,0.0,0.0
15,220.45162031389918,221.2021753972149,0.0,0.0
16,7745.646565755251,7773.989179171131,0.0,0.0
17,23964.18215696842,23944.885911207984,0.0,0.0
18,35712.21420767478,35791.220834585416,0.0,0.0
19,40009.73046874996,40009.73046875006,0.0,0.0
20,34384.199869791715,34362.563213641944,0.0,0.0
21,28927.174913194525,28923.49568058902,0.0,0.0
22,28151.58854166667,28151.548903245242,0.0,0.0
23,24471.9830729167,2922.967923677934,0.0,0.0
