HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2468.8591916606256,2468.8193875826337,0.0,0.0
1,2445.589102909456,2443.3791597806526,0.0,0.0
2,2484.333079838612,2447.423783522359,0.0,0.0
3,2688.527563570224,2502.232273982149,0.0,0.0
4,3194.9329193232065,2698.534689096304,0.0,0.0
5,3996.9906253741237,3160.1221430851792,0.0,0.0
6,5150.643525690133,3933.384338378901,0.0,0.0
7,6507.774439318407,4952.998399000917,0.0,0.0
8,7693.656932845404,6015.29644305889,0.0,0.0
9,8569.346321427467,6911.679656982408,0.0,0.0
10,9103.887650413059,7516.9823021521925,0.0,0.0
11,9301.780645728548,7776.623619666469,0.0,0.0
12,9332.226322100974,7821.211120605491,0.0,0.0
13,9326.675706417614,7763.774353027347,0.0,0.0
14,9239.286295572887,7531.695112961986,0.0,0.0
15,8824.716119641993,7006.1095135028545,0.0,0.0
16,7843.912622912192,6190.909005972057,0.0,0.0
17,6472.8280277179065,5255.397519625147,0.0,0.0
18,5214.156034856887,4393.749969482418,0.0,0.0
19,4317.609955886272,3731.5006103515607,0.0,0.0
20,3652.208456806779,3286.1115464430604,0.0,0.0
21,3141.0571897075856,2970.7115619366014,0.0,0.0
22,2773.690975028449,2711.034858116736,0.0,0.0
23,2558.1152867577225,74.61463599487018,0.0,0.0
