HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,-18.472884431879077,-38.59761399743902,0.0,-78.07777102612602,432.9230338117412
1,-20.393619534395945,-42.41361243684895,0.0,-78.07777102612602,432.9230338117412
2,152.72621318920042,64.16160509369924,0.0,-78.07777102612602,432.9230338117412
3,120.13271975306041,65.48739879395043,0.0,-78.07777102612602,432.9230338117412
4,122.18036747158864,69.04656822895278,0.0,-78.07777102612602,432.9230338117412
5,278.83269474384645,71.32300191295141,0.0,-78.07777102612602,432.9230338117412
6,373.8871265622959,65.56395400972904,0.0,-78.07777102612602,432.9230338117412
7,371.77420121899377,49.478538785897044,0.0,-78.07777102612602,432.9230338117412
8,421.91947132448803,9.45092404982308,0.0,-78.07777102612602,432.9230338117412
9,517.8938353258518,-79.78206826663998,0.0,-78.07777102612602,432.9230338117412
10,575.9074406137811,-210.65046513427177,0.0,-78.07777102612602,432.9230338117412
11,633.4188291118655,-332.6063566669068,0.0,-78.07777102612602,432.9230338117412
12,710.7342299264443,-432.71634771240355,0.0,-78.07777102612602,432.9230338117412
13,772.7554688307494,-507.37205225341006,0.0,-78.07777102612602,432.9230338117412
14,705.8716623068904,-556.3138420081024,0.0,-78.07777102612602,432.9230338117412
15,694.5908689283771,-570.7271990895168,0.0,-78.07777102612602,432.9230338117412
16,-105.27713564427667,-712.1782784540455,0.0,-78.07777102612602,432.9230338117412
17,-266.0072165731609,-860.6640149941676,0.0,-78.07777102612602,432.9230338117412
18,-169.11569594093655,-612.4433767922761,0.0,-78.07777102612602,432.9230338117412
19,-45.93284087069377,-338.90353247800005,0.0,-78.07777102612602,432.9230338117412
20,25.960945512292515,-171.19456088275666,0.0,-78.07777102612602,432.9230338117412
21,65.8235124416819,-79.60708004203124,0.0,-78.07777102612602,432.9230338117412
22,70.3686098209043,-31.21410786978713,0.0,-78.07777102612602,432.9230338117412
23,-21.611194800455408,-9.00967541547462,0.0,-78.07777102612602,432.9230338117412
