HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,4108.0400390625055,4108.040039062467,0.0,0.0,519.7397057806718
1,4108.0400390624445,4108.040039062495,0.0,0.0,519.7397057806718
2,4108.040039062488,4108.040039062481,0.0,0.0,519.7397057806718
3,4062.7980685763823,4062.6240609975907,0.0,0.0,519.7397057806718
4,3865.017241379295,3858.156954251786,0.0,0.0,519.7397057806718
5,2617.5834306154197,2616.043081430287,0.0,0.0,519.7397057806718
6,2349.3561590786508,2276.02224864129,0.0,0.0,519.7397057806718
7,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
8,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
9,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
10,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
11,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
12,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
13,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
14,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
15,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
16,4108.0400390625055,4108.0400390625055,0.0,0.0,519.7397057806718
17,1608.9974230481412,1587.0159401271603,0.0,0.0,519.7397057806718
18,3249.358513959937,3275.8911449725515,0.0,0.0,519.7397057806718
19,4108.040039062483,4108.040039062489,0.0,0.0,519.7397057806718
20,4108.040039062486,4108.040039062478,0.0,0.0,519.7397057806718
21,4108.040039062461,4108.040039062486,0.0,0.0,519.7397057806718
22,4108.040039062476,4108.040039062478,0.0,0.0,519.7397057806718
23,4108.0400390624845,4108.040039062488,0.0,0.0,519.7397057806718
