HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,58.74177761908439,33.54947433998703,0.0,-246.45313818277512,975.5888940215932
1,72.24428545310472,112.63934486471227,0.0,-246.45313818277512,975.5888940215932
2,64.41315526713619,118.86337830044747,0.0,-246.45313818277512,975.5888940215932
3,61.5595308118247,96.63120307129066,0.0,-246.45313818277512,975.5888940215932
4,362.2080297073152,357.95560042598163,0.0,-246.45313818277512,975.5888940215932
5,1068.5640826084393,892.3905340482863,0.0,-246.45313818277512,975.5888940215932
6,1230.8815303957117,935.4323760074942,0.0,-246.45313818277512,975.5888940215932
7,1563.6673134108926,888.0838412759125,0.0,-246.45313818277512,975.5888940215932
8,1810.1343097120175,1005.7605893192979,0.0,-246.45313818277512,975.5888940215932
9,2134.7148222123437,996.6224814157146,0.0,-246.45313818277512,975.5888940215932
10,2307.155752401559,873.5117282468326,0.0,-246.45313818277512,975.5888940215932
11,2320.321784922747,723.3195839980382,0.0,-246.45313818277512,975.5888940215932
12,2360.5081404435346,497.04832737622314,0.0,-246.45313818277512,975.5888940215932
13,2500.8826700797576,522.5083731800205,0.0,-246.45313818277512,975.5888940215932
14,2743.5865249792228,762.5977501549065,0.0,-246.45313818277512,975.5888940215932
15,2907.469486430922,994.0076643044983,0.0,-246.45313818277512,975.5888940215932
16,2750.747587916283,1020.8367353407604,0.0,-246.45313818277512,975.5888940215932
17,414.1893750004075,-706.3249969459496,0.0,-246.45313818277512,975.5888940215932
18,137.89846517627655,-607.1684163055946,0.0,-246.45313818277512,975.5888940215932
19,326.66811858574727,-150.15607466469544,0.0,-246.45313818277512,975.5888940215932
20,-160.92725814649506,-269.87463083393413,0.0,-246.45313818277512,975.5888940215932
21,-200.90890774923676,-274.3942605878559,0.0,-246.45313818277512,975.5888940215932
22,-53.36445714352929,-103.38426844224597,0.0,-246.45313818277512,975.5888940215932
23,-5.709838205882747,-118.39870971373264,0.0,-246.45313818277512,975.5888940215932
